Tibetan	Description
སད་མདའ་	A preliminary therapeutic test སད་པའི་སྐབས་ཀཡཟ་ཐིག་ལེ The drop of awakening It abides mainly at the forehead and the navel; and refers to a state, when energies in the upper portion of the body converge at the forehead and energies in the lower portion of the body converge at the navel, at the time of one's awakening from sleep. This drop of awakening is called 'the body-drop' [e:A preliminary therapeutic test སད་པའི་སྐབས་ཀཡཟ་ཐིག་ལེ The drop of awakening It abides mainly at the forehead and the navel; and refers to a state, when energies in the upper portion of the body converge at the forehead and energies in the lower portion of the body converge at the navel, at the time of one's awakening from sleep. This drop of awakening is called 'the body-drop' (Tib. ལུས་སེམ་སྐུའི་ཐིག་ལེ ).  
སི་པན་	༼en=༽ Chilli ༼bot=༽ Capsicum Frutescens [e:༼en=༽ Chilli ༼bot=༽ Capsicum Frutescens Taste: Hot Potency: Warm and dry Uses: It is one of the best carminative agents, and removes gases from the body, circulatory stimulant, antiseptic, anti-bacterial, and promotes appetite. It is also used to relieve indigestion, promote sweating, and to tonify the nervous system. It is good for throat problems, such as tonsillitis, laryngitis, and hoarseness. Recent research suggests that cayenne can ease severe pain of shingles and migraines. But excessive consumption of cayenne can lead to gastro enteritis and liver damage. It is advised to avoid seeds, as they can be toxic.  
སིང་པོ་	Light wine, light ཆང [e:Light wine, light ཆང  
སིན་དྷུ་ར་	༼en=༽ Yellow ochre Scientific Name: Limoniterra [e:༼en=༽ Yellow ochre Scientific Name: Limoniterra Taste: Sweet to astringent Uses: It cures wounds of five vital and six hollow organs, blood disorders and effective in the treatment of fevers and serious burns.  
སིབ་ནད་	Measles [e:Measles  
སུ་མི་	Corydalis Yanhusuo W.T. Wang [e:Corydalis Yanhusuo W.T. Wang     
སུ་ལུ་	Rhododendron sp. [e:Rhododendron sp.  
སུག་སྨེལ་	Ela ༼hn=༽ Chota Ilaichi ༼en=༽ Cardamom ༼bot=༽ Elettaria cardamomum [e:༼sk= Ela༽ ༼hn=༽ Chota Ilaichi ༼en=༽ Cardamom ༼bot=༽ Elettaria cardamomum Taste: Hot Potency: Warm Uses: It is useful in the treatment of urine retention, stomach disorders, kidney ailments and promotes appetite and generates digestive heat.  
སུམ་ཅུ་རྩ་གསུམ་	The heaven of thirty-three; celestial abode of gods of the desire realm believed to be located on the top of Mt. Meru [e:The heaven of thirty-three; celestial abode of gods of the desire realm believed to be located on the top of Mt. Meru  
སུར་ཡ་	Internal lesion, Herpes A round red rash on the skin associated with sores on specific organs [e:Internal lesion, Herpes A round red rash on the skin associated with sores on specific organs  
སེ་རྒོད་	༼en=༽ Wild Rose ༼bot=༽ Rosa laevigate [e:༼en=༽ Wild Rose ༼bot=༽ Rosa laevigate Taste: Sweet to astringent Potency: Cool Uses: It is beneficial in the treatment of fever related with poisoning, liver infection, epidemic fever associated with རླུང and disorders of lymph.  
སེ་བའི་མེ་ཏོག་	༼bot=༽ Rosa brunonii [e:༼bot=༽ Rosa brunonii Taste: Sweet to sour Potency: Neutral and oily Uses: It is used against giddiness, acute headache, tinnitus, hot disorders, problems associated with gall bladder and རླུང ailments.  
སེ་འབྲུ་	༼hn=༽ Anar/Dhalima ༼bot=༽ Punica granatum L. [e:༼hn=༽ Anar/Dhalima ༼bot=༽ Punica granatum L. Taste: Sour to sweet Potency: Warm Uses: It restores weak digestive heat and is used against indigestion, loss of appetite, cold diseases and disorders of the རླུང .  
སེང་གེ་	Leo; one of the twelve zodiac signs and is symbolized by a lion [e:Leo; one of the twelve zodiac signs and is symbolized by a lion     
སེང་གེའི་རྩལ་	The powers of a lion [e:The powers of a lion  
སེང་གེ་འཇིགས་མེད་	Silene sp. [e:Silene sp.  
སེང་ལྡེང་	༼hn=༽ Khadira, khair ༼bot=༽ Acacia catechu [e:༼hn=༽ Khadira, khair ༼bot=༽ Acacia catechu Taste: Astringent Uses: It is recommended against gout, arthritis, lymph disorders, proliferation of impure blood and skin diseases.  
སེན་མོ་	Nails [e:Nails     
སེམས་	Syn. of ཡིད and refers to the crystal energy which cognises things [e:Syn. of ཡིད and refers to the crystal energy which cognises things     
སེམས་ཅན་	Living creatures, Sentient being [e:Living creatures, Sentient being (༼lv=lit༽ possessing mind)     
སེམས་ཅན་གྱི་ཁམས་	Realms of sentient beings [e:Realms of sentient beings     
སེམས་བྱུང་	Mental factor [e:Mental factor (the various aspects of the mind apart from the five main sense consciousnesses)     
སེམས་ཚབས་	Nervous mind [e:Nervous mind  
སེར་	Yellow [e:Yellow     
སེར་ཆེན་	Trollius chinensis Bge. [e:Trollius chinensis Bge.  
སེར་སྣ་	Stingy, miser [e:Stingy, miser     
སོ་རྙིལ་གྱི་ནད་	Pyorrhea [e:Pyorrhea (diseases of the gum)  
སོ་ཕག་	Brick [e:Brick  
སོ་བ་	Barley, unhusked grain ༼bot=༽ Hordeum Hexasticum Vulgare Uses: It is recommended for phlegm and bile disorders and removes pain, stones, as well as helps in the delivey of a child. [e:Barley, unhusked grain ༼bot=༽ Hordeum Hexasticum Vulgare Uses: It is recommended for phlegm and bile disorders and removes pain, stones, as well as helps in the delivey of a child.     
སོ་བྱའི་སྒྲོ་	Heron, Anser sp. [e:Heron, Anser sp. (feathers of black goose)  
སོ་མ་ར་ཛ་	༼bot=༽ Psoralea Corylifolia [e:༼bot=༽ Psoralea Corylifolia Taste: Astringent to bitter to slightly hot Potency: Warm Uses: It is useful in the treatment of vitiligo, skin diseases, arthritis, fungal disorder, serum diseases, frequent urination, excessive perspiration and impotency.  
སོ་རྩ་	Blood letting vessels of the teeth [e:Blood letting vessels of the teeth  
སོ་ལོ་སྔོན་པོ་	༼en=༽ Green pepper [e:༼en=༽ Green pepper Taste: Sweet Potency: Cool Uses: It is beneficial in the treatment of piles, oedema, diseases due to serous fluid and micro-organism, tumours and cancerous growth.  
སོ་སོར་ཐར་པ་	Liberation [e:Liberation (total freedom from Samsara)     
སོག་ཀ་པ་	༼bot=༽ Capsella- bursa pastoris [e:༼bot=༽ Capsella- bursa pastoris Taste: Sweet and hot Potency: Neutral Uses: It is used to treat kidney, lung, and nerve disorders, fluid retention in the body and to control vomiting.     
སོག་པ་	Scapla, scapulae [e:Scapla, scapulae     
སོག་མ་	Blade of grass [e:Blade of grass     
སོག་ལེ་	Saw [e:Saw  
སོར་གང་	Bredth of one finger It is a measure of length used in Tibet and one ནོར refers to the breadth of one finger. [e:Bredth of one finger It is a measure of length used in Tibet and one ནོར refers to the breadth of one finger.  
སོར་མོ་	Fingers [e:Fingers     
སོར་མོ་ལྔ་	The five fingers 1. མཐེ་བོང -thumb 2. ་མཛུབ་མོ -index finger 3. གུང་མོ -middle finger 4. སྲིན་ལག -ring finger and 5. མཐེའུ་ཆུང -the little finger. [e:The five fingers 1. མཐེ་བོང -thumb 2. ་མཛུབ་མོ -index finger 3. གུང་མོ -middle finger 4. སྲིན་ལག -ring finger and 5. མཐེའུ་ཆུང -the little finger.  
སོལ་བ་	Charcoal [e:Charcoal     
སོས་ཀ་	Dry summer months - 4th and 5th Tibetan lunar months, a time of རླུང accumulation and བད་ཀན pacification [e:Dry summer months - 4th and 5th Tibetan lunar months, a time of རླུང accumulation and བད་ཀན pacification     
སྲ་འབྲས་	༼hn=༽ Jaraun/ jambava, ༼en=༽ Rose apple ༼bot=༽ Syzygium cumini Uses: It cures renal disorders. [e:༼hn=༽ Jaraun/ jambava, ༼en=༽ Rose apple ༼bot=༽ Syzygium cumini Uses: It cures renal disorders.  
སྲང་	Libra; one of the twelve zodiac signs and is symbolized by a balance. [e:Libra; one of the twelve zodiac signs and is symbolized by a balance.  
སྲད་དཀར་	༼bot=༽ Oxytropis ochrantha [e:༼bot=༽ Oxytropis ochrantha Taste: Sweet Potency: Warm Uses: It is used to treat dropsy and retention of fluid in the body, swelling, poisoning by herbs, spleen disorders and colic pain.  
སྲད་སྔོན་	Astragalus pastovius Tsai et. Yii. [e:Astragalus pastovius Tsai et. Yii.  
སྲད་ནག་	Oxytropi subpodooba P.C. Li. [e:Oxytropi subpodooba P.C. Li.  
སྲད་དམར་	Hedysarum sikkimense Benth ex. Baker [e:Hedysarum sikkimense Benth ex. Baker  
སྲད་སྨུག་	Gueldenstaedtia himalaica Baker [e:Gueldenstaedtia himalaica Baker  
སྲད་སེར་	Astragulus Yunnanensis Franch Var. tatsiensis [e:Astragulus Yunnanensis Franch Var. tatsiensis (Bur et. Frang) cheng f.  
སྲན་ཆུང་ལེབ་མོ་	༼hn=༽ Masur Dal ༼en=༽ Lentil [e:༼hn=༽ Masur Dal ༼en=༽ Lentil (light pink lentil) ༼bot=༽ Lens culinarus Medik Family: Leguminosae Taste: Astringent and sweet Potency: Warm Uses: It increases all the three humours, but treats piles. A paste of this dal treats erysipelas, gout and blood disorders.  
སྲན་ཕུབ་	Peas-straw, skin of bean [e:Peas-straw, skin of bean
སྲམ་	Ottar, iguana [e:Ottar, iguana (Lutra lutra)  
སྲི་	Evil spirit; a malignant spirit born of a dead person resurrected in their previous locality who create trouble in the vicinity [e:Evil spirit; a malignant spirit born of a dead person resurrected in their previous locality who create trouble in the vicinity  
སྲི་གནོན་	Exorcism; a type of tantric ritual to capture, bury and burn a malignant spirit [e:Exorcism; a type of tantric ritual to capture, bury and burn a malignant spirit  
སྲིད་པ་	Samsara; cyclic existence [e:Samsara; cyclic existence     
སྲིད་པའི་རྩ་	The channel of existence upon which the senses, physical form and the soul depend upon [e:The channel of existence upon which the senses, physical form and the soul depend upon  
སྲིད་པ་སུམ་ཅུ་རྩ་གཅིག་	The thirty one existences The four formless realms, the sixteen realms of form and eleven realms of desire [e:The thirty one existences The four formless realms, the sixteen realms of form and eleven realms of desire  
སྲིན་	Organism [e:Organism     
སྲིན་ཐོར་	Acne - a kind of skin disease provoking pimples with white and black heads [e:Acne - a kind of skin disease provoking pimples with white and black heads  
སྲིན་ནད་	Disorders caused by microorganisms [e:Disorders caused by microorganisms  
སྲིན་པོ་	Raksasa , Cannible, Orgre It is a kind of evil spirit which survives on meat. [e:༼sk= Raksasa༽, Cannible, Orgre It is a kind of evil spirit which survives on meat.  
སྲིན་བུ་	Parasite [e:Parasite     
སྲིན་བུའི་དུག་	Insect poisoning སྲིན་བུ་པད་མ Leech It is a creature that sucks blood in place of performing venesection. [e:Insect poisoning སྲིན་བུ་པད་མ Leech It is a creature that sucks blood in place of performing venesection.  
སྲིན་ལག་	Ring finger [e:Ring finger  
སྲིན་ལག་རྒྱབ་རྩ་	Minor dorsal blood letting vessels of the ring finger [e:Minor dorsal blood letting vessels of the ring finger  
སྲིན་ལོང་	Descending colon [e:Descending colon  
སྲིན་ཤིང་སྣ་མ་	༼bot=༽ Daphne tangutica Maxim [e:༼bot=༽ Daphne tangutica Maxim Taste: Sweet to bitter Uses: It restores digestive heat and remedies many germ caused disorders..  
སྲུག་པ་	Platycodon Grandiflorum A.DC. [e:Platycodon Grandiflorum A.DC.  
སྲུང་འཁོར་	Wheel of Protection [e:Wheel of Protection  
སྲུང་མདུད་	Protection cord. [e:Protection cord.  
སྲུང་མ་	Guardian deities/Protective deities [e:Guardian deities/Protective deities     
སྲུབ་ཀ་	༼bot=༽ Anemone rivularis [e:༼bot=༽ Anemone rivularis Taste: Bitter and hot Potency: Warm Uses: It restores weak digestive heat of the stomach, indigestion, treats tumours of cold nature, pathogenic diseases, poisoning caused by snake bite, ruptured wounds and accumulation of excess serous fluids.  
སྲུལ་མོ་	Demoness of decomposition [e:Demoness of decomposition  
སྲུས་ཐུག་	Barley broth, soup of unripe barley [e:Barley broth, soup of unripe barley (Hordeum Vulgare) Unripe barley broth constipates and deteriorates the digestive heat.  
སྲེ་ད་	Blackened wild barley [e:Blackened wild barley (Hordeum spontaneum C. koch). Uses: It dispels phlegm and bile disorders.  
སྲེ་ལོང་	Calcaneus [e:Calcaneus (Calcanum bones)  
སྲེག་	Cauterization, moxibustion [e:Cauterization, moxibustion     
སྲེད་པ་	Craving [e:Craving     
སྲོ་མ་ནག་པོ་	༼bot=༽ Cannabis sativus Linn [e:༼bot=༽ Cannabis sativus Linn Taste: Sweet Potency: Neutral Uses: It is beneficial m treating རླུང disorders, constipation, insomnia, pain, cancers, impotency and weak eyesight.  
སྲོ་ལོ་དཀར་པོ་	༼bot=༽ Solms- Laubachia sp. [e:༼bot=༽ Solms- Laubachia sp. Taste: Sweet Potency: Cool Uses: It is used to treat hot disorders of the lungs, turbid fever, infectious fever and wounds.  
སྲོ་ལོ་སྨུག་པོ་	༼bot=༽ Solms- laubachia earycarpa [e:༼bot=༽ Solms- laubachia earycarpa (Maxim) Botsch Taste: Hot to Sweet Potency: Cool Uses: It cures hot disorders of the lungs, epidemic fever and cough due to cold disorders.  
